model,coef_bps,ci_low_bps,ci_high_bps
Conventional — State FE,-3.554614183900242,-5.1218082505464295,-1.9874201172540549
Conventional — MSA FE,-3.506277203039918,-4.594531669498412,-2.4180227365814235
FHA — State FE,-2.0093531036856147,-3.2676973135343927,-0.7510088938368363
FHA — MSA FE,-1.6124476710169897,-2.5034635894002912,-0.7214317526336882
VA — State FE,-5.388106643242252,-7.389782483050962,-3.3864308034335417
VA — MSA FE,-4.063446078977838,-5.619084777128883,-2.5078073808267947
USDA — State FE,-5.328281739555389,-10.735009806252044,0.07844632714126692
USDA — MSA FE,-3.8382555987655804,-8.659375896347154,0.9828646988159926
