model,coef_bps,ci_low_bps,ci_high_bps
State FE + loan_type,-3.514648654450783,-5.000075544224245,-2.029221764677321
MSA FE + loan_type,-3.1834586112716714,-4.068018977927911,-2.2988982446154327
