derived_msa_md,apps,approvals,approval_rate
25540,16447,10830,0.6584787499239984
47930,6861,4346,0.6334353592770733
35980,4043,2553,0.6314617858026218
14860,11424,7021,0.6145833333333334
35300,7352,4443,0.6043253536452666
99999,3903,2226,0.5703305149884704
