derived_msa_md,apps,approvals,approval_rate
17300,8385,4805,0.5730471079308289
17410,32834,19827,0.6038557592739233
17420,2193,1282,0.5845873233014136
17660,3567,2185,0.6125595738716008
17780,3720,2188,0.5881720430107527
17820,17492,10746,0.6143379830779785
17860,3556,2032,0.5714285714285714
17900,19104,10537,0.5515598827470687
17980,4809,2627,0.5462674152630485
18020,1533,968,0.6314416177429876
18140,39779,23175,0.5825938309158099
18580,7416,3882,0.5234627831715211
18700,905,570,0.6298342541436464
18880,7800,4427,0.5675641025641026
19124,121194,63841,0.5267670016667492
19140,1753,1024,0.5841414717626925
19300,6606,3682,0.5573720859824403
19340,6253,4079,0.6523268830961139
19430,15482,9094,0.5873918098436894
19460,2422,1377,0.5685383980181669
19500,1404,869,0.6189458689458689
19660,17908,9594,0.5357382175563994
19740,60891,36751,0.6035538913796784
19780,15557,10251,0.6589316706305843
19804,22030,13751,0.6241942805265547
20020,2206,1314,0.5956482320942883
20100,4132,2153,0.5210551790900291
20220,1351,1009,0.7468541820873427
20260,3860,2574,0.6668393782383419
20500,9272,5669,0.6114106988783434
20580,513,265,0.5165692007797271
20740,2126,1588,0.7469426152398871
20940,1473,824,0.5594025797691785
20994,14226,8374,0.5886405173625756
21060,2124,1260,0.5932203389830508
21140,2991,1980,0.6619859578736209
21300,969,659,0.6800825593395253
21340,14174,7523,0.5307605474813037
21420,992,566,0.5705645161290323
21500,2578,1810,0.7020946470131885
21660,4395,2810,0.6393629124004551
21780,4827,2891,0.5989227263310545
21794,13580,8297,0.6109720176730487
21820,1443,955,0.6618156618156619
22020,4289,2947,0.6871065516437398
22140,1102,638,0.5789473684210527
22180,9208,5167,0.5611424847958297
22220,14743,8146,0.5525334056840534
22380,1322,777,0.5877458396369137
22420,6029,3669,0.6085586332725161
22500,2741,1603,0.5848230572783656
22520,2432,1458,0.5995065789473685
22540,1368,995,0.7273391812865497
22660,6872,4120,0.59953434225844
22744,31473,15816,0.5025259746449338
22900,3704,1973,0.5326673866090713
23060,9089,5717,0.6290020904389921
23104,50856,27661,0.5439082900739343
23224,20014,11661,0.5826421504946537
23420,15056,8412,0.5587141339001063
23460,1458,849,0.5823045267489712
23540,4798,2620,0.5460608586911213
23580,3564,2012,0.5645342312008979
23900,1461,917,0.6276522929500342
24020,1518,867,0.5711462450592886
24140,2128,1272,0.5977443609022557
24220,1219,881,0.7227235438884332
24260,1084,612,0.5645756457564576
24300,3164,1947,0.6153603034134008
24340,15216,10492,0.6895373291272345
24420,1024,650,0.634765625
24500,1443,825,0.5717255717255717
24540,8767,5430,0.6193680848636934
24580,4146,3067,0.7397491558128316
24660,11812,7502,0.635116830342025
24780,2707,1651,0.6099002585888438
24860,18531,10891,0.5877178781501268
25020,306,156,0.5098039215686274
25060,7927,4347,0.548378957991674
25180,7233,3999,0.5528826213189548
25220,2212,1134,0.5126582278481012
25260,2301,1269,0.5514993481095176
25420,8317,5405,0.6498737525550078
25500,1868,1100,0.588865096359743
25540,16454,10830,0.6581986143187067
25620,2271,1267,0.5579040070453545
25740,1447,846,0.5846579129232896
25860,5495,3561,0.6480436760691538
25940,5519,3347,0.6064504439210002
25980,2976,1695,0.5695564516129032
26140,3976,2167,0.545020120724346
26300,1445,774,0.5356401384083045
26380,2172,1172,0.5395948434622467
26420,143872,75351,0.5237363767793595
26580,4198,2572,0.6126727012863268
26620,14258,8203,0.575326132697433
26820,3070,1872,0.609771986970684
26900,48795,27949,0.5727840967312224
26980,3406,2048,0.6012918379330593
27060,698,506,0.7249283667621776
27100,2395,1537,0.6417536534446764
27140,8775,4967,0.5660398860398861
27180,2732,1516,0.554904831625183
27260,41724,21940,0.5258364490461126
27340,5895,3454,0.5859202714164546
27500,2573,1877,0.729498639720171
27620,2405,1499,0.6232848232848233
27740,3123,1933,0.6189561319244317
27780,1313,874,0.6656511805026657
27860,2393,1237,0.5169243627246135
27900,3980,2145,0.5389447236180904
27980,1039,608,0.5851780558229066
28020,3481,2363,0.6788279230106291
28100,1660,968,0.5831325301204819
28140,41516,25144,0.6056460159938337
28420,4876,3382,0.6936013125512716
28450,2203,1453,0.6595551520653654
28660,10961,6269,0.571936867074172
28700,4407,2703,0.6133424098025868
28740,1585,1027,0.6479495268138801
28880,7548,4851,0.6426868044515104
28940,17005,10194,0.5994707438988532
29020,1777,1067,0.6004501969611705
29100,1987,1471,0.7403120281831908
29180,6343,3507,0.552892952861422
29200,3226,2085,0.6463112213267204
29340,2867,1520,0.5301709103592606
29404,10990,6268,0.5703366696997271
29414,13017,7716,0.5927633095183222
29420,3629,2143,0.5905208046293745
29460,24516,12213,0.49816446402349485
29484,35538,19269,0.5422083403680568
29540,5921,4040,0.682317176152677
29620,6383,4336,0.679304402318659
29700,3225,1832,0.5680620155038759
29740,3673,2178,0.592975769126055
29820,46239,25420,0.54975237353749
29940,1263,895,0.7086302454473475
30020,2206,1218,0.5521305530371714
30140,1849,1299,0.7025419145484045
30300,774,518,0.6692506459948321
30340,1752,1097,0.6261415525114156
30460,7991,4928,0.616693780503066
30500,4213,2346,0.5568478518870164
30620,1474,934,0.6336499321573948
30700,6346,3774,0.5947053261897258
