derived_sex,count,mean,std,min,25%,50%,75%,max
Female,620783.0,0.07030325776479059,1.2597942105769533,-6.55,-0.215,0.198,0.634,2.708
Male,949143.0,0.08449518450749773,1.143674707123817,-6.55,-0.257,0.165,0.607,2.708
